PartcipantID:dskjfnfjkdsa
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;xyCoordinates;error
3;1;3;0;28;-1;8;(0,4.5)(8,5)(6.5,1)(4,1)(1,1)(6,4);Pause
3;2;3;0;28;-1;46;(2.5,6)(1,3)(7.5,5.5)(7.5,3)(5.5,1)(5,6);Pause
3;3;3;0;28;-1;26;(6.5,5)(2.5,6)(1,1.5)(6.5,2.5)(5.5,0.5)(0,5);Pause
3;4;3;0;28;-1;30;(0.5,4.5)(7,3.5)(0.5,1)(7.5,1)(4.5,0.5)(6.5,6);Pause
3;5;3;0;28;-1;7;(7,4.5)(3,6)(0,4)(7,1.5)(1.5,1.5)(5,5.5);Pause
3;6;3;0;28;-1;35;(4.5,6)(8,1)(4.5,0.5)(0,2)(7.5,4.5)(1.5,6);Pause
3;7;3;0;28;-1;55;(8,5)(0.5,5.5)(6.5,1.5)(0.5,1)(5.5,6)(1.5,3);Pause
3;8;3;0;28;-1;16;(0,4)(2,1)(6,1)(2,5)(5.5,6)(8,2.5);Pause
4;1;3;0;28;-1;38;(5.5,0.5)(1,2)(6.5,6)(6.5,3.5)(1,5.5)(3,6);Pause
4;2;3;0;28;-1;13;(0,4.5)(3.5,0.5)(5,6)(7.5,5.5)(6.5,1.5)(1,1.5);Pause
4;3;3;0;28;-1;47;(7.5,4)(1.5,6)(0.5,1)(4,6)(7.5,1.5)(1.5,3.5);Pause
4;4;3;0;28;-1;48;(1.5,1)(6,4.5)(5.5,1)(0,5.5)(7.5,2)(8,5.5);Pause
4;5;3;0;28;-1;3;(4.5,6)(7.5,5.5)(1,3)(0,5.5)(7,1.5)(4.5,0.5);Pause
4;6;3;0;28;-1;39;(0,3.5)(6.5,4.5)(6,1)(4,6)(8,2)(1,1);Pause
4;7;3;0;28;-1;22;(7.5,4.5)(0,3.5)(0,6)(3,0.5)(2.5,6)(7.5,2);Pause
4;8;3;0;28;-1;18;(1.5,6)(0,3)(7.5,3)(5,6)(7.5,6)(6,1);Pause
5;1;3;0;28;-1;53;(8,1)(5.5,5.5)(1.5,5.5)(0,2)(2,1)(7.5,5.5);Pause
5;2;3;0;28;-1;34;(0,3.5)(7.5,4.5)(2.5,0.5)(8,1)(-0.5,0.5)(3,6);Pause
5;3;3;0;28;-1;41;(0,1)(6.5,5)(1.5,3.5)(3,6)(7,2.5)(0.5,6);Pause
5;4;3;0;28;-1;44;(0,5.5)(7.5,2)(2.5,6)(2.5,0.5)(0,1)(6.5,4.5);Pause
5;5;3;0;28;-1;24;(7.5,3.5)(6.5,1)(1.5,6)(4,6)(1.5,1)(1,4);Pause
5;6;3;0;28;-1;2;(0,3)(2.5,6)(8,1.5)(5.5,6)(2.5,0.5)(0,5.5);Pause
5;7;3;0;28;-1;11;(0.5,2.5)(2,5.5)(6.5,6)(5,0.5)(7.5,2)(2.5,0.5);Pause
5;8;3;0;28;-1;17;(1,5)(7.5,0.5)(6.5,5.5)(0.5,1.5)(7.5,3)(3.5,6);Pause
6;1;3;0;28;-1;12;(0.5,2)(0,5)(3,0.5)(7,4)(5.5,0.5)(8,1.5);Pause
6;2;3;0;28;-1;32;(1.5,6)(1,1)(8,1)(7,4)(0,4)(4,6);Pause
6;3;3;0;28;-1;40;(7,4)(0.5,1)(1.5,5)(6.5,0.5)(3.5,6)(3.5,0.5);Pause
6;4;3;0;28;-1;54;(4.5,6)(6.5,5)(0,2)(2,0.5)(1,5.5)(7.5,1.5);Pause
6;5;3;0;28;-1;25;(0.5,4)(6.5,5.5)(6,1)(1.5,1)(8,3)(8,1);Pause
6;6;3;0;28;-1;15;(0.5,2.5)(2,6)(6.5,6)(7.5,1)(6.5,3.5)(0,5);Pause
6;7;3;0;28;-1;6;(1.5,3.5)(7,3)(6.5,6)(1.5,6)(1.5,0.5)(4,6);Pause
6;8;3;0;28;-1;52;(7.5,1.5)(0,5)(0,0.5)(7,5.5)(5,0.5)(3,6);Pause
7;1;3;0;28;-1;36;(6.5,2.5)(2,5.5)(1,2.5)(7.5,6)(5,6)(3,0.5);Pause
7;2;3;0;28;-1;9;(6,5.5)(1,5)(6.5,1)(8,5.5)(4,1)(0.5,1);Pause
7;3;3;0;28;-1;56;(8,2)(1.5,4.5)(4,0.5)(7.5,5)(0,2.5)(5,6);Pause
7;4;3;0;28;-1;29;(0.5,4)(7,4)(1,6)(4.5,6)(7.5,1.5)(1.5,1);Pause
7;5;3;0;28;-1;49;(1.5,1)(2.5,5.5)(7.5,3)(0,4.5)(6,5.5)(5.5,1);Pause
7;6;3;0;28;-1;19;(3,6)(1,6)(7.5,3.5)(2,1)(7,6)(0,3.5);Pause
7;7;3;0;28;-1;27;(8,2)(1.5,4.5)(5.5,0.5)(7,5.5)(0.5,1.5)(4,6);Pause
7;8;3;0;28;-1;4;(1,3.5)(6.5,5.5)(2,1)(6.5,1.5)(1.5,5.5)(4,6);Pause
